"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"80","001","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Public Counter",274
"80","001","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Manually Counted Emergency",0
"80","001","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Absentee/Military",13
"80","001","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Federal",5
"80","001","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Special Presidential",0
"80","001","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Affidavit",7
"80","001","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Mark Gjonaj (Democratic)",200
"80","001","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Nicholas Marricco (Republican)",33
"80","001","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Robert Goodman (Conservative)",11
"80","002","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Public Counter",259
"80","002","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Manually Counted Emergency",0
"80","002","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Absentee/Military",14
"80","002","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Federal",3
"80","002","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Special Presidential",0
"80","002","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Affidavit",12
"80","002","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Mark Gjonaj (Democratic)",226
"80","002","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Nicholas Marricco (Republican)",24
"80","002","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Robert Goodman (Conservative)",6
"80","002","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Scattered",2
"80","003","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Public Counter",389
"80","003","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Manually Counted Emergency",0
"80","003","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Absentee/Military",16
"80","003","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Federal",1
"80","003","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Special Presidential",0
"80","003","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Affidavit",7
"80","003","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Mark Gjonaj (Democratic)",191
"80","003","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Nicholas Marricco (Republican)",151
"80","003","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Robert Goodman (Conservative)",19
"80","004","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Public Counter",311
"80","004","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Manually Counted Emergency",0
"80","004","Bronx","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","80",1,"Absentee/Military",15
