,,"Statement and Return Report

for Certification



General Election - 11/08/2022


Bronx County
 - 
All Parties and Independent Bodies




State Senator


34th Senatorial District


Vote for 1","Assembly District 80","Public Counter","1,308","Total Ballots","1,435","Less - Inapplicable Federal/Special Presidential Ballots",(5),"Total Applicable Ballots","1,430",,,"Unrecorded",57,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Friday, December 2, 2022.","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



General Election - 11/08/2022


Bronx County
 - 
All Parties and Independent Bodies




State Senator


34th Senatorial District


Vote for 1","Assembly District 80","Manually Counted Emergency",0,"Total Ballots","1,435","Less - Inapplicable Federal/Special Presidential Ballots",(5),"Total Applicable Ballots","1,430",,,"Unrecorded",57,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Friday, December 2, 2022.","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



General Election - 11/08/2022


Bronx County
 - 
All Parties and Independent Bodies




State Senator


34th Senatorial District


Vote for 1","Assembly District 80","Absentee / Military",102,"Total Ballots","1,435","Less - Inapplicable Federal/Special Presidential Ballots",(5),"Total Applicable Ballots","1,430",,,"Unrecorded",57,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Friday, December 2, 2022.","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



General Election - 11/08/2022


Bronx County
 - 
All Parties and Independent Bodies




State Senator


34th Senatorial District


Vote for 1","Assembly District 80","Federal",5,"Total Ballots","1,435","Less - Inapplicable Federal/Special Presidential Ballots",(5),"Total Applicable Ballots","1,430",,,"Unrecorded",57,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Friday, December 2, 2022.","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



General Election - 11/08/2022


Bronx County
 - 
All Parties and Independent Bodies




State Senator


34th Senatorial District


Vote for 1","Assembly District 80","Affidavit",20,"Total Ballots","1,435","Less - Inapplicable Federal/Special Presidential Ballots",(5),"Total Applicable Ballots","1,430",,,"Unrecorded",57,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Friday, December 2, 2022.","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



General Election - 11/08/2022


Bronx County
 - 
All Parties and Independent Bodies




State Senator


34th Senatorial District


Vote for 1","Assembly District 80","Nathalia Fernandez (Democratic)",627,,,,,,,"Total Votes","1,373","Unrecorded",57,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Friday, December 2, 2022.","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



General Election - 11/08/2022


Bronx County
 - 
All Parties and Independent Bodies




State Senator


34th Senatorial District


Vote for 1","Assembly District 80","Samantha Zherka (Republican)",698,,,,,,,"Total Votes","1,373","Unrecorded",57,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Friday, December 2, 2022.","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



General Election - 11/08/2022


Bronx County
 - 
All Parties and Independent Bodies




State Senator


34th Senatorial District


Vote for 1","Assembly District 80","Samantha Zherka (Conservative)",48,,,,,,,"Total Votes","1,373","Unrecorded",57,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Friday, December 2, 2022.","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



General Election - 11/08/2022


Bronx County
 - 
All Parties and Independent Bodies




State Senator


34th Senatorial District


Vote for 1","Assembly District 82","Public Counter","17,499","Total Ballots","18,729","Less - Inapplicable Federal/Special Presidential Ballots",(17),"Total Applicable Ballots","18,712",,,"Unrecorded","1,124",,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Friday, December 2, 2022.","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



General Election - 11/08/2022


Bronx County
 - 
All Parties and Independent Bodies




State Senator


34th Senatorial District


Vote for 1","Assembly District 82","Manually Counted Emergency",0,"Total Ballots","18,729","Less - Inapplicable Federal/Special Presidential Ballots",(17),"Total Applicable Ballots","18,712",,,"Unrecorded","1,124",,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Friday, December 2, 2022.","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



General Election - 11/08/2022


Bronx County
 - 
All Parties and Independent Bodies




State Senator


34th Senatorial District


Vote for 1","Assembly District 82","Absentee / Military",970,"Total Ballots","18,729","Less - Inapplicable Federal/Special Presidential Ballots",(17),"Total Applicable Ballots","18,712",,,"Unrecorded","1,124",,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Friday, December 2, 2022.","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



General Election - 11/08/2022


Bronx County
 - 
All Parties and Independent Bodies




State Senator


34th Senatorial District


Vote for 1","Assembly District 82","Federal",17,"Total Ballots","18,729","Less - Inapplicable Federal/Special Presidential Ballots",(17),"Total Applicable Ballots","18,712",,,"Unrecorded","1,124",,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Friday, December 2, 2022.","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



General Election - 11/08/2022


Bronx County
 - 
All Parties and Independent Bodies




State Senator


34th Senatorial District


Vote for 1","Assembly District 82","Affidavit",243,"Total Ballots","18,729","Less - Inapplicable Federal/Special Presidential Ballots",(17),"Total Applicable Ballots","18,712",,,"Unrecorded","1,124",,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Friday, December 2, 2022.","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
